UserName,Tweet,TimeDateStamp,Location,preprocessed_Tweet,tokenized_Tweet
haining_s,"RT @NECSRETeam: Studies already reporting on COVID-19 &amp; mental health:

Trajectories of anxiety, depression &amp; stress updated weekly by @UCL…",2020-06-10 16:45:36,Newcastle ,"@necsreteam: studies already reporting covid-19 mental health: trajectories anxiety, depression stress updated weekly @ucl…","['necsreteam', 'studies', 'already', 'reporting', 'covid', 'mental', 'health', 'trajectories', 'anxiety', 'depression', 'stress', 'updated', 'weekly', 'ucl']"
HadfieldSNT,"RT @mentalhealth: 💚Kindness, or doing good, often means putting other people’s needs before our own

Evidence shows that helping others can…",2020-06-10 16:01:17,"Hadfield,Padfield & Tintwistle","@mentalhealth: 💚kindness, good, often means putting people’s needs evidence shows helping others can…","['mentalhealth', 'kindness', 'good', 'often', 'means', 'putting', 'people', 'needs', 'evidence', 'shows', 'helping', 'others', 'can']"
chiaragastaldon,"RT @daniguinart: Check out our interview on @MHWeekly about @coh_fit_us 👇🏼

#research #COVID19 

CC: @NAMICommunicate @mhn247 @mentalhealth…",2020-06-10 15:55:20,New York - Verona,@daniguinart: check interview @mhweekly @coh_fit_us 👇🏼 #research #covid19 cc: @namicommunicate @mhn247 @mentalhealth…,"['daniguinart', 'check', 'interview', 'mhweekly', 'coh_fit_us', 'research', 'covid19', 'cc', 'namicommunicate', 'mhn247', 'mentalhealth']"
TECScotland,RT @digiscot: Looking forward to our special DigiShift tomorrow themed for professionals working in Mental Health - with @ThirdSectorLab an…,2020-06-10 15:11:13,"Edinburgh, Scotland",@digiscot: looking forward special digishift tomorrow themed professionals working mental health - @thirdsectorlab an…,"['digiscot', 'looking', 'forward', 'special', 'digishift', 'tomorrow', 'themed', 'professionals', 'working', 'mental', 'health', 'thirdsectorlab', 'an']"
LibraryTown,"RT @mentalhealth: There are many things we can do to support our mental health during the coronavirus outbreak💚

👉Find out more through our…",2020-06-10 15:09:49,"Wandsworth, London",@mentalhealth: many things support mental health coronavirus outbreak💚 👉find our…,"['mentalhealth', 'many', 'things', 'support', 'mental', 'health', 'coronavirus', 'outbreak', 'find', 'our']"
digiscot,"Looking forward to our special DigiShift tomorrow themed for professionals working in Mental Health - with @ThirdSectorLab and special guests from @mentalhealth and @SRN_Tweet 

Book at https://t.co/gl4K7Dfl1m 

#WeTheCatalysts #Digital #MentalHealth #DigitalSkills https://t.co/cBdhrULL0R",2020-06-10 15:08:25,Scotland,looking forward special digishift tomorrow themed professionals working mental health - @thirdsectorlab special guests @mentalhealth @srn_tweet book #wethecatalysts #digital #mentalhealth #digitalskills,"['looking', 'forward', 'special', 'digishift', 'tomorrow', 'themed', 'professionals', 'working', 'mental', 'health', 'thirdsectorlab', 'special', 'guests', 'mentalhealth', 'srn_tweet', 'book', 'wethecatalysts', 'digital', 'mentalhealth', 'digitalskills']"
SelfHelpTeam,"Be kind to yourself. See our Outreach &amp; Development Team's Ten Tips For Self-Care:
https://t.co/mzmZIG37RG
Also, check out our Directory of self help groups:
https://t.co/xWbwMeaGVM

@mentalhealth
 
@MindCharity
 
@CharitySANE
 
@Rethink_
 
#KindnessMatters 
#StayConnected",2020-06-10 15:07:06,UK,"kind yourself. see outreach development team's ten tips self-care: also, check directory self help groups: @mentalhealth @mindcharity @charitysane @rethink_ #kindnessmatters #stayconnected","['kind', 'yourself', 'see', 'outreach', 'development', ""team's"", 'ten', 'tips', 'self', 'care', 'also', 'check', 'directory', 'self', 'help', 'groups', 'mentalhealth', 'mindcharity', 'charitysane', 'rethink_', 'kindnessmatters', 'stayconnected']"
daniguinart,"Check out our interview on @MHWeekly about @coh_fit_us 👇🏼

#research #COVID19 

CC: @NAMICommunicate @mhn247 @mentalhealth @MentalHealthAm 

Take the survey. Spread the word.

https://t.co/Aefuw9MDLX",2020-06-10 14:59:48,"New York, NY",check interview @mhweekly @coh_fit_us 👇🏼 #research #covid19 cc: @namicommunicate @mhn247 @mentalhealth @mentalhealtham take survey. spread word.,"['check', 'interview', 'mhweekly', 'coh_fit_us', 'research', 'covid19', 'cc', 'namicommunicate', 'mhn247', 'mentalhealth', 'mentalhealtham', 'take', 'survey', 'spread', 'word']"
exposingterror1,"@IndyHothi @SikhsGoGreen @1jonnyj @Starbucks @JB_Cartwright @suzykerton @RimlaAkhtar @simplybaron @burnetcatherine @mentalhealth @Laks_Mann @ICASaccounting @Champ1Diversity @bruce_pritchard All of this Khalistani Terrorist propaganda is cause of mental issues amongst the Sangat. Reject this terrorism and focus on Nanak Ji - that will help bring calm and peace. 

https://t.co/3toSfd0U2l",2020-06-10 14:52:01,"नई दिल्ली, भारत",@indyhothi @sikhsgogreen @1jonnyj @starbucks @jb_cartwright @suzykerton @rimlaakhtar @simplybaron @burnetcatherine @mentalhealth @laks_mann @icasaccounting @champ1diversity @bruce_pritchard khalistani terrorist propaganda cause mental issues amongst sangat. reject terrorism focus nanak ji - help bring calm peace.,"['indyhothi', 'sikhsgogreen', 'jonnyj', 'starbucks', 'jb_cartwright', 'suzykerton', 'rimlaakhtar', 'simplybaron', 'burnetcatherine', 'mentalhealth', 'laks_mann', 'icasaccounting', 'champ1diversity', 'bruce_pritchard', 'khalistani', 'terrorist', 'propaganda', 'cause', 'mental', 'issues', 'amongst', 'sangat', 'reject', 'terrorism', 'focus', 'nanak', 'ji', 'help', 'bring', 'calm', 'peace']"
ddtarchives,RT @Chris_DDTHSLB: @CopaHealth @SuicidePrevAU @afspnational @NYSomh @mentalhealth @Rethink_ @MentalHealthAm @Endcyberharass help us make a…,2020-06-10 14:16:54,"Palisades, NY",@chris_ddthslb: @copahealth @suicideprevau @afspnational @nysomh @mentalhealth @rethink_ @mentalhealtham @endcyberharass help us make a…,"['chris_ddthslb', 'copahealth', 'suicideprevau', 'afspnational', 'nysomh', 'mentalhealth', 'rethink_', 'mentalhealtham', 'endcyberharass', 'help', 'us', 'make']"
Chris_DDTHSLB,@CopaHealth @SuicidePrevAU @afspnational @NYSomh @mentalhealth @Rethink_ @MentalHealthAm @Endcyberharass help us make a different.  #EndCyberBullying #EndTheStigma #SupportOneAnother https://t.co/BE1DkDg78o,2020-06-10 14:11:09,New York,@copahealth @suicideprevau @afspnational @nysomh @mentalhealth @rethink_ @mentalhealtham @endcyberharass help us make different. #endcyberbullying #endthestigma #supportoneanother,"['copahealth', 'suicideprevau', 'afspnational', 'nysomh', 'mentalhealth', 'rethink_', 'mentalhealtham', 'endcyberharass', 'help', 'us', 'make', 'different', 'endcyberbullying', 'endthestigma', 'supportoneanother']"
NECSRETeam,"Studies already reporting on COVID-19 &amp; mental health:

Trajectories of anxiety, depression &amp; stress updated weekly by @UCL &amp; @NetworkMARCH COVID-19 social study.

Regular updates on mental health &amp; inequalities from @mentalhealth Mental Health in the Pandemic study. (3/9)",2020-06-10 14:09:38,"Newcastle Upon Tyne, England","studies already reporting covid-19 mental health: trajectories anxiety, depression stress updated weekly @ucl @networkmarch covid-19 social study. regular updates mental health inequalities @mentalhealth mental health pandemic study. (3/9)","['studies', 'already', 'reporting', 'covid', 'mental', 'health', 'trajectories', 'anxiety', 'depression', 'stress', 'updated', 'weekly', 'ucl', 'networkmarch', 'covid', 'social', 'study', 'regular', 'updates', 'mental', 'health', 'inequalities', 'mentalhealth', 'mental', 'health', 'pandemic', 'study']"
Dalemack1958,"RT @MHCC_: Research shows that there are 5 key issues that can have an impact on the mental wellbeing of older people: Discrimination, Part…",2020-06-10 14:08:46,"Guelph, Ontario","@mhcc_: research shows 5 key issues impact mental wellbeing older people: discrimination, part…","['mhcc_', 'research', 'shows', 'key', 'issues', 'impact', 'mental', 'wellbeing', 'older', 'people', 'discrimination', 'part']"
MHCC_,"Research shows that there are 5 key issues that can have an impact on the mental wellbeing of older people: Discrimination, Participation in meaningful activities, Relationships, Physical health, and Poverty https://t.co/8MEIlQYs78 via @mentalhealth https://t.co/9rqgeSpvbH",2020-06-10 14:07:01,Canada,"research shows 5 key issues impact mental wellbeing older people: discrimination, participation meaningful activities, relationships, physical health, poverty via @mentalhealth","['research', 'shows', 'key', 'issues', 'impact', 'mental', 'wellbeing', 'older', 'people', 'discrimination', 'participation', 'meaningful', 'activities', 'relationships', 'physical', 'health', 'poverty', 'via', 'mentalhealth']"
emmastroudldn,@mentalhealth Oh it's lovely to be involved in the book I hope we make done serious profits for you guys,2020-06-10 14:05:47,London,@mentalhealth oh lovely involved book hope make done serious profits guys,"['mentalhealth', 'oh', 'lovely', 'involved', 'book', 'hope', 'make', 'done', 'serious', 'profits', 'guys']"
HazelHayden,@50Sense @Pausitivity2 @MindCharity @mentalhealthuk @mentalhealth @CentreforMH Yes so true,2020-06-10 13:49:24,Portishead Bristol ,@50sense @pausitivity2 @mindcharity @mentalhealthuk @mentalhealth @centreformh yes true,"['sense', 'pausitivity2', 'mindcharity', 'mentalhealthuk', 'mentalhealth', 'centreformh', 'yes', 'true']"
50Sense,@HazelHayden @Pausitivity2 @MindCharity @mentalhealthuk @mentalhealth @CentreforMH We need more research into women's health. It is woefully neglected.,2020-06-10 13:48:35,"Canterbury, England",@hazelhayden @pausitivity2 @mindcharity @mentalhealthuk @mentalhealth @centreformh need research women's health. woefully neglected.,"['hazelhayden', 'pausitivity2', 'mindcharity', 'mentalhealthuk', 'mentalhealth', 'centreformh', 'need', 'research', ""women's"", 'health', 'woefully', 'neglected']"
HazelHayden,@50Sense @Pausitivity2 @MindCharity @mentalhealthuk @mentalhealth @CentreforMH Absolutely and women know this. I get frustrated over progesterone there’s no high quality data! As someone who is intolerant and many women I see are too- there’s no easy answer,2020-06-10 13:46:12,Portishead Bristol ,@50sense @pausitivity2 @mindcharity @mentalhealthuk @mentalhealth @centreformh absolutely women know this. get frustrated progesterone there’s high quality data! someone intolerant many women see too- there’s easy answer,"['sense', 'pausitivity2', 'mindcharity', 'mentalhealthuk', 'mentalhealth', 'centreformh', 'absolutely', 'women', 'know', 'this', 'get', 'frustrated', 'progesterone', 'there', 'high', 'quality', 'data', 'someone', 'intolerant', 'many', 'women', 'see', 'too', 'there', 'easy', 'answer']"
HazelHayden,@YourNewLifePlan @Pausitivity2 @50Sense @MindCharity @mentalhealthuk @mentalhealth @CentreforMH No your not. I struggled to find good up to date research. When you look at John Studds stuff we have not looked any further. I have my own thoughts but could not share here,2020-06-10 13:43:50,Portishead Bristol ,@yournewlifeplan @pausitivity2 @50sense @mindcharity @mentalhealthuk @mentalhealth @centreformh not. struggled find good date research. look john studds stuff looked further. thoughts could share,"['yournewlifeplan', 'pausitivity2', 'sense', 'mindcharity', 'mentalhealthuk', 'mentalhealth', 'centreformh', 'not', 'struggled', 'find', 'good', 'date', 'research', 'look', 'john', 'studds', 'stuff', 'looked', 'further', 'thoughts', 'could', 'share']"
50Sense,"@HazelHayden @Pausitivity2 @MindCharity @mentalhealthuk @mentalhealth @CentreforMH Exactly! I'm not depressed, it's my hormones playing up that has an impact on my mood and wellbeing, which stresses me (and those around me) out no end.",2020-06-10 13:42:02,"Canterbury, England","@hazelhayden @pausitivity2 @mindcharity @mentalhealthuk @mentalhealth @centreformh exactly! i'm depressed, hormones playing impact mood wellbeing, stresses (and around me) end.","['hazelhayden', 'pausitivity2', 'mindcharity', 'mentalhealthuk', 'mentalhealth', 'centreformh', 'exactly', 'depressed', 'hormones', 'playing', 'impact', 'mood', 'wellbeing', 'stresses', 'and', 'around', 'me', 'end']"
YourNewLifePlan,"@HazelHayden @Pausitivity2 @50Sense @MindCharity @mentalhealthuk @mentalhealth @CentreforMH That’s how I suspected you’d reply. We can help with the education of all/ages, inc. nutrition/lufestyle. But the 1st 2 take commitment and often the need for others to reap a benefit. Am I being a cynic?",2020-06-10 13:40:09,"Sheffield, England","@hazelhayden @pausitivity2 @50sense @mindcharity @mentalhealthuk @mentalhealth @centreformh that’s suspected you’d reply. help education all/ages, inc. nutrition/lufestyle. 1st 2 take commitment often need others reap benefit. cynic?","['hazelhayden', 'pausitivity2', 'sense', 'mindcharity', 'mentalhealthuk', 'mentalhealth', 'centreformh', 'that', 'suspected', 'you', 'reply', 'help', 'education', 'all', 'ages', 'inc', 'nutrition', 'lufestyle', 'st', 'take', 'commitment', 'often', 'need', 'others', 'reap', 'benefit', 'cynic']"
50Sense,RT @HazelHayden: @Pausitivity2 @50Sense @MindCharity @mentalhealthuk @mentalhealth @CentreforMH More and longer research. Go knowledge of h…,2020-06-10 13:36:50,"Canterbury, England",@hazelhayden: @pausitivity2 @50sense @mindcharity @mentalhealthuk @mentalhealth @centreformh longer research. go knowledge h…,"['hazelhayden', 'pausitivity2', 'sense', 'mindcharity', 'mentalhealthuk', 'mentalhealth', 'centreformh', 'longer', 'research', 'go', 'knowledge']"
GriffinNptacl,"RT @YBB_Year6: Good day #YBBHomeSchoolers
Our #wellbeingwednesday task is one published by @mentalhealth , but we’d love you to complete it…",2020-06-10 13:36:26,,"@ybb_year6: good day #ybbhomeschoolers #wellbeingwednesday task one published @mentalhealth , we’d love complete it…","['ybb_year6', 'good', 'day', 'ybbhomeschoolers', 'wellbeingwednesday', 'task', 'one', 'published', 'mentalhealth', 'we', 'love', 'complete', 'it']"
HazelHayden,@Pausitivity2 @50Sense @MindCharity @mentalhealthuk @mentalhealth @CentreforMH More and longer research. Go knowledge of hormones and menopause. Women realise they are not depressed. Education of young women and men. Nutrition,2020-06-10 13:35:57,Portishead Bristol ,@pausitivity2 @50sense @mindcharity @mentalhealthuk @mentalhealth @centreformh longer research. go knowledge hormones menopause. women realise depressed. education young women men. nutrition,"['pausitivity2', 'sense', 'mindcharity', 'mentalhealthuk', 'mentalhealth', 'centreformh', 'longer', 'research', 'go', 'knowledge', 'hormones', 'menopause', 'women', 'realise', 'depressed', 'education', 'young', 'women', 'men', 'nutrition']"
Pausitivity2,@HazelHayden @50Sense @MindCharity @mentalhealthuk @mentalhealth @CentreforMH What would be a solution Hazel?,2020-06-10 13:32:41,,@hazelhayden @50sense @mindcharity @mentalhealthuk @mentalhealth @centreformh would solution hazel?,"['hazelhayden', 'sense', 'mindcharity', 'mentalhealthuk', 'mentalhealth', 'centreformh', 'would', 'solution', 'hazel']"
HazelHayden,@50Sense @Pausitivity2 @MindCharity @mentalhealthuk @mentalhealth @CentreforMH Absolutely I see so many women put on ADs for menopause related low mood. I know I recently did an MSc in sexual health in menopause and really good up to date research is hard to find,2020-06-10 13:31:38,Portishead Bristol ,@50sense @pausitivity2 @mindcharity @mentalhealthuk @mentalhealth @centreformh absolutely see many women put ads menopause related low mood. know recently msc sexual health menopause really good date research hard find,"['sense', 'pausitivity2', 'mindcharity', 'mentalhealthuk', 'mentalhealth', 'centreformh', 'absolutely', 'see', 'many', 'women', 'put', 'ads', 'menopause', 'related', 'low', 'mood', 'know', 'recently', 'msc', 'sexual', 'health', 'menopause', 'really', 'good', 'date', 'research', 'hard', 'find']"
NeomOrganics,"RT @Very__Social: Get your tickets for the @NeomOrganics #virtualfestival 💛
Spend the day with Neom on 20/6/20, they have big plans for you…",2020-06-10 13:27:03,"London, Leeds & Harrogate, UK","@very__social: get tickets @neomorganics #virtualfestival 💛 spend day neom 20/6/20, big plans you…","['very__social', 'get', 'tickets', 'neomorganics', 'virtualfestival', 'spend', 'day', 'neom', 'big', 'plans', 'you']"
50Sense,@HazelHayden @Pausitivity2 @MindCharity @mentalhealthuk @mentalhealth @CentreforMH I am shocked that there is no real mention on any site and the only true menopause focussed article is from EIGHT years ago. My mental health has taken a beating during menopause and I know I'm not the only one.,2020-06-10 13:20:25,"Canterbury, England",@hazelhayden @pausitivity2 @mindcharity @mentalhealthuk @mentalhealth @centreformh shocked real mention site true menopause focussed article eight years ago. mental health taken beating menopause know i'm one.,"['hazelhayden', 'pausitivity2', 'mindcharity', 'mentalhealthuk', 'mentalhealth', 'centreformh', 'shocked', 'real', 'mention', 'site', 'true', 'menopause', 'focussed', 'article', 'eight', 'years', 'ago', 'mental', 'health', 'taken', 'beating', 'menopause', 'know', 'one']"
HazelHayden,@50Sense @Pausitivity2 @MindCharity @mentalhealthuk @mentalhealth @CentreforMH This is true and least likely to be treated with HRT,2020-06-10 13:17:43,Portishead Bristol ,@50sense @pausitivity2 @mindcharity @mentalhealthuk @mentalhealth @centreformh true least likely treated hrt,"['sense', 'pausitivity2', 'mindcharity', 'mentalhealthuk', 'mentalhealth', 'centreformh', 'true', 'least', 'likely', 'treated', 'hrt']"
YBB_Yr56,"Good day #YBBHomeSchoolers
Our #wellbeingwednesday task is one published by @mentalhealth , but we’d love you to complete it today. 
It’s all about how wonderful you are (we believe you are) 
Use the pictures to help design your rainbow clouds. Send us your pics here☁️🌈#selfcare https://t.co/swyVathOCB",2020-06-10 13:17:29,"Port Talbot, Wales","good day #ybbhomeschoolers #wellbeingwednesday task one published @mentalhealth , we’d love complete today. it’s wonderful (we believe are) use pictures help design rainbow clouds. send us pics here☁️🌈#selfcare","['good', 'day', 'ybbhomeschoolers', 'wellbeingwednesday', 'task', 'one', 'published', 'mentalhealth', 'we', 'love', 'complete', 'today', 'it', 'wonderful', 'we', 'believe', 'are', 'use', 'pictures', 'help', 'design', 'rainbow', 'clouds', 'send', 'us', 'pics', 'here', 'selfcare']"
YBB_Year6,"Good day #YBBHomeSchoolers
Our #wellbeingwednesday task is one published by @mentalhealth , but we’d love you to complete it today. 
It’s all about how wonderful you are (we believe you are) 
Use the pictures to help design your rainbow clouds. Send us your pics here☁️🌈#selfcare https://t.co/FyK9LTAa6J",2020-06-10 13:17:22,,"good day #ybbhomeschoolers #wellbeingwednesday task one published @mentalhealth , we’d love complete today. it’s wonderful (we believe are) use pictures help design rainbow clouds. send us pics here☁️🌈#selfcare","['good', 'day', 'ybbhomeschoolers', 'wellbeingwednesday', 'task', 'one', 'published', 'mentalhealth', 'we', 'love', 'complete', 'today', 'it', 'wonderful', 'we', 'believe', 'are', 'use', 'pictures', 'help', 'design', 'rainbow', 'clouds', 'send', 'us', 'pics', 'here', 'selfcare']"
nembotavy_0101,"RT @50Sense: Depression &amp; anxiety took more women to the GP in @Pausitivity2's menopause survey
Women 50-54 are at highest risk of suicide…",2020-06-10 13:15:13,Postcolonial,@50sense: depression anxiety took women gp @pausitivity2's menopause survey women 50-54 highest risk suicide…,"['sense', 'depression', 'anxiety', 'took', 'women', 'gp', ""pausitivity2's"", 'menopause', 'survey', 'women', 'highest', 'risk', 'suicide']"
50Sense,"Depression &amp; anxiety took more women to the GP in @Pausitivity2's menopause survey
Women 50-54 are at highest risk of suicide 
But search for menopause help from mental health groups &amp; this is all you get
#EveryMindMatters?

@MindCharity @mentalhealthuk @mentalhealth @CentreforMH https://t.co/qDGoj40HAx",2020-06-10 13:13:37,"Canterbury, England",depression anxiety took women gp @pausitivity2's menopause survey women 50-54 highest risk suicide search menopause help mental health groups get #everymindmatters? @mindcharity @mentalhealthuk @mentalhealth @centreformh,"['depression', 'anxiety', 'took', 'women', 'gp', ""pausitivity2's"", 'menopause', 'survey', 'women', 'highest', 'risk', 'suicide', 'search', 'menopause', 'help', 'mental', 'health', 'groups', 'get', 'everymindmatters', 'mindcharity', 'mentalhealthuk', 'mentalhealth', 'centreformh']"
emmastroudldn,"This arrived on the post today! A book! That I am one of the authors of..all profits go to @mentalhealth 

It's available in three days to buy...
My chapter is all about Play! https://t.co/jMWhNQKv5E",2020-06-10 12:52:25,London,arrived post today! book! one authors of..all profits go @mentalhealth available three days buy... chapter play!,"['arrived', 'post', 'today', 'book', 'one', 'authors', 'of', 'all', 'profits', 'go', 'mentalhealth', 'available', 'three', 'days', 'buy', 'chapter', 'play']"
PiFonline,"ICYMI Last week's #HealthInformation round up included news from @ProfRecordSB, @HealthFdn, @Anomali, @NHSEngland, @LGAcomms, @mentalhealth, @NHSConfed, @pharmaphorum, @dhealthtoday, @JMIR &amp; @davidsless: https://t.co/gIHdEPhRfa",2020-06-10 12:45:00,Everywhere,"icymi last week's #healthinformation round included news @profrecordsb, @healthfdn, @anomali, @nhsengland, @lgacomms, @mentalhealth, @nhsconfed, @pharmaphorum, @dhealthtoday, @jmir @davidsless:","['icymi', 'last', ""week's"", 'healthinformation', 'round', 'included', 'news', 'profrecordsb', 'healthfdn', 'anomali', 'nhsengland', 'lgacomms', 'mentalhealth', 'nhsconfed', 'pharmaphorum', 'dhealthtoday', 'jmir', 'davidsless']"
NEZARAMO,@lazmasaba @MariamStilaal @SUP4HSTAR @BahaShane @MandelaTalona @depressionnote @mentalhealth @elgonfoundation @JumaMuwanguzi @NestaIvan @MrInfluencerUg Yah I wish I can kill it,2020-06-10 12:38:18, Emirates,@lazmasaba @mariamstilaal @sup4hstar @bahashane @mandelatalona @depressionnote @mentalhealth @elgonfoundation @jumamuwanguzi @nestaivan @mrinfluencerug yah wish kill,"['lazmasaba', 'mariamstilaal', 'sup4hstar', 'bahashane', 'mandelatalona', 'depressionnote', 'mentalhealth', 'elgonfoundation', 'jumamuwanguzi', 'nestaivan', 'mrinfluencerug', 'yah', 'wish', 'kill']"
NEZARAMO,@lazmasaba @MariamStilaal @SUP4HSTAR @BahaShane @MandelaTalona @depressionnote @mentalhealth @elgonfoundation @JumaMuwanguzi @NestaIvan @MrInfluencerUg That's why I hate love cos of it's shit,2020-06-10 12:33:04, Emirates,@lazmasaba @mariamstilaal @sup4hstar @bahashane @mandelatalona @depressionnote @mentalhealth @elgonfoundation @jumamuwanguzi @nestaivan @mrinfluencerug that's hate love cos shit,"['lazmasaba', 'mariamstilaal', 'sup4hstar', 'bahashane', 'mandelatalona', 'depressionnote', 'mentalhealth', 'elgonfoundation', 'jumamuwanguzi', 'nestaivan', 'mrinfluencerug', ""that's"", 'hate', 'love', 'cos', 'shit']"
